doi,title,author,variable,region,model,climate.scenario,value,estimation.year,unit,focus,study,publication.date
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP5,5106,2070,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP1,3185,2100,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP-2,4783,2100,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP-2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP3,8347,2100,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP4,3984,2100,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP5,6470,2100,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP1,3169,2070,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP2,4071,2070,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP3,5981,2070,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP4,3662,2070,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP5,5068,2070,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP1,3093,2100,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP2,4568,2100,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP3,8095,2100,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP4,3868,2100,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.Policy-SSP5,6275,2100,km3/year,projected,hanasaki (2012).H08.GFDL.Policy-SSP5,2012
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,unconstrained,1700,1980,km3/year,projected,turner et al (2019).GCAM.unconstrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,unconstrained,2000,2000,km3/year,projected,turner et al (2019).GCAM.unconstrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,unconstrained,2800,2020,km3/year,projected,turner et al (2019).GCAM.unconstrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,unconstrained,3500,2040,km3/year,projected,turner et al (2019).GCAM.unconstrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,unconstrained,3800,2060,km3/year,projected,turner et al (2019).GCAM.unconstrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,unconstrained,3700,2080,km3/year,projected,turner et al (2019).GCAM.unconstrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,unconstrained,3500,2100,km3/year,projected,turner et al (2019).GCAM.unconstrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,constrained,1700,1980,km3/year,projected,turner et al (2019).GCAM.constrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,constrained,2000,2000,km3/year,projected,turner et al (2019).GCAM.constrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,constrained,2800,2020,km3/year,projected,turner et al (2019).GCAM.constrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,constrained,3000,2040,km3/year,projected,turner et al (2019).GCAM.constrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,constrained,3300,2060,km3/year,projected,turner et al (2019).GCAM.constrained,2019
10.1016/j.scitotenv.2019.04.070,a pathway of global food supply adaptation in a world with increasingly constrained groundwater,turner et al (2019),iww,global,GCAM,constrained,3000,2080,km3/year,projected,turner et al (2019).GCAM.constrained,2019
